year,geo_name,geo,income_hispanic
2013,"Champaign County, IL","05000US17019",37267.0
2013,"Christian County","05000US17021",41250.0
2013,"Clark County","05000US17023",None
2013,"Clay County","05000US17025",56250.0
2013,"Clinton County","05000US17027",48750.0
2013,"Coles County","05000US17029",17083.0
2013,"Cook County, IL","05000US17031",44883.0
2013,"Crawford County","05000US17033",14052.0
2013,"Cumberland County","05000US17035",None
2013,"DeKalb County, IL","05000US17037",31316.0
2013,"De Witt County","05000US17039",40885.0
2013,"Douglas County","05000US17041",39492.0
2013,"DuPage County, IL","05000US17043",56222.0
2013,"Edgar County","05000US17045",14444.0
2013,"Edwards County","05000US17047",None
2013,"Effingham County","05000US17049",48500.0
2013,"Fayette County","05000US17051",21667.0
2013,"Ford County","05000US17053",48750.0
2013,"Franklin County","05000US17055",31389.0
2013,"Fulton County","05000US17057",33958.0
2013,"Gallatin County","05000US17059",None
2013,"Greene County","05000US17061",15625.0
2013,"Grundy County","05000US17063",53603.0
2013,"Hamilton County","05000US17065",54135.0
2013,"Hancock County","05000US17067",53000.0
2013,"Hardin County","05000US17069",None
2013,"Henderson County","05000US17071",121500.0
2013,"Henry County","05000US17073",44500.0
2013,"Iroquois County","05000US17075",37269.0
2013,"Jackson County","05000US17077",21935.0
2013,"Jasper County","05000US17079",95568.0
2013,"Jefferson County","05000US17081",39688.0
2013,"Jersey County","05000US17083",52727.0
2013,"Jo Daviess County","05000US17085",35705.0
2013,"Johnson County","05000US17087",26250.0
2013,"Kane County, IL","05000US17089",48439.0
2013,"Kankakee County, IL","05000US17091",43189.0
2013,"Kendall County, IL","05000US17093",58924.0
2013,"Knox County","05000US17095",31633.0
2013,"Lake County, IL","05000US17097",49607.0
2013,"LaSalle County, IL","05000US17099",49618.0
2013,"Lawrence County","05000US17101",51094.0
2013,"Lee County","05000US17103",38975.0
2013,"Livingston County","05000US17105",42105.0
2013,"Logan County","05000US17107",55000.0
2013,"McDonough County","05000US17109",33750.0
2013,"McHenry County, IL","05000US17111",56495.0
2013,"McLean County, IL","05000US17113",41825.0
2013,"Macon County, IL","05000US17115",40625.0
2013,"Macoupin County","05000US17117",41875.0
2013,"Madison County, IL","05000US17119",46902.0
2013,"Marion County","05000US17121",38182.0
2013,"Marshall County","05000US17123",46750.0
2013,"Mason County","05000US17125",103036.0
2013,"Massac County","05000US17127",81786.0
2013,"Menard County","05000US17129",51136.0
2013,"Mercer County","05000US17131",45536.0
2013,"Monroe County","05000US17133",57321.0
2013,"Montgomery County","05000US17135",61250.0
2013,"Morgan County","05000US17137",22396.0
2013,"Moultrie County","05000US17139",29853.0
2013,"Ogle County","05000US17141",36680.0
2013,"Peoria County, IL","05000US17143",41166.0
2013,"Perry County","05000US17145",46875.0
2013,"Piatt County","05000US17147",60536.0
2013,"Pike County","05000US17149",21250.0
2013,"Pope County","05000US17151",46141.0
2013,"Pulaski County","05000US17153",16641.0
2013,"Putnam County","05000US17155",40833.0
2013,"Randolph County","05000US17157",62143.0
2013,"Richland County","05000US17159",None
2013,"Rock Island County, IL","05000US17161",38978.0
2013,"St. Clair County, IL","05000US17163",42581.0
2013,"Saline County","05000US17165",46250.0
2013,"Sangamon County, IL","05000US17167",39360.0
2013,"Schuyler County","05000US17169",58646.0
2013,"Scott County","05000US17171",None
2013,"Shelby County","05000US17173",61375.0
2013,"Stark County","05000US17175",None
2013,"Stephenson County","05000US17177",33661.0
2013,"Tazewell County, IL","05000US17179",60208.0
2013,"Union County","05000US17181",40800.0
2013,"Vermilion County","05000US17183",34970.0
2013,"Wabash County","05000US17185",2499.0
2013,"Warren County","05000US17187",44044.0
2013,"Washington County","05000US17189",34063.0
2013,"Wayne County","05000US17191",26667.0
2013,"White County","05000US17193",78750.0
2013,"Whiteside County","05000US17195",38935.0
2013,"Will County, IL","05000US17197",61218.0
2013,"Williamson County","05000US17199",39083.0
