geo_name,geo_sumlevel,geo_id,adult_smoking_2015,adult_smoking_2016,adult_smoking_2017,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017,income_2013,income_2014,income_2015,income_2016
"Wayne County, MS","county",05000US28153,0.182,0.214,0.209,13.3,15.6,18,29925,29254,32557,34458
"Webster County, MS","county",05000US28155,0.229,0.195,0.186,,,,33524,33769,34448,37083
"Wilkinson County, MS","county",05000US28157,0.226,0.218,0.231,16,19.3,24,33618,32044,29931,25846
"Winston County, MS","county",05000US28159,0.203,0.216,0.22,,,,30821,33969,33202,32820
"Yalobusha County, MS","county",05000US28161,0.224,0.2,0.195,19.2,19.8,16,32930,33900,36502,34749
"Yazoo County, MS","county",05000US28163,0.245,0.23,0.233,9.7,8.3,10.7,26336,27489,28961,27560
"Adair County, MO","county",05000US29001,0.263,0.235,0.217,,,,34733,34976,37516,37967
"Andrew County, MO","county",05000US29003,0.215,0.179,0.186,,,,54336,53986,55613,54804
"Atchison County, MO","county",05000US29005,0.254,0.184,0.194,,,,44426,44216,43933,43438
"Audrain County, MO","county",05000US29007,0.29,0.213,0.223,,,,43013,43139,41310,41930
"Barry County, MO","county",05000US29009,0.309,0.207,0.22,5.1,,,38710,38789,39033,37869
"Barton County, MO","county",05000US29011,,0.225,0.24,,,,40580,38792,37467,38877
"Bates County, MO","county",05000US29013,0.259,0.212,0.222,,,,38579,39744,41060,41520
"Benton County, MO","county",05000US29015,0.206,0.201,0.218,,,,32951,33145,33042,33428
"Bollinger County, MO","county",05000US29017,0.245,0.217,0.227,,,,37716,38906,39707,39493
"Boone County, MO","county",05000US29019,0.182,0.195,0.213,2.2,2.5,2.9,48627,49059,49899,50813
"Buchanan County, MO","county",05000US29021,0.268,0.217,0.22,4,4.2,5.6,44363,44971,46315,46680
"Butler County, MO","county",05000US29023,0.34,0.23,0.234,,,3.3,34969,36160,35738,36302
"Caldwell County, MO","county",05000US29025,0.197,0.201,0.198,,,,41169,41740,43691,44722
"Callaway County, MO","county",05000US29027,0.298,0.193,0.204,5.3,4.2,3.9,47964,48264,47744,50362
"Camden County, MO","county",05000US29029,0.309,0.199,0.201,,,,43458,43498,44816,46747
"Cape Girardeau County, MO","county",05000US29031,0.201,0.201,0.221,2.7,3.9,3.5,46516,45849,46050,48458
"Carroll County, MO","county",05000US29033,0.209,0.204,0.213,,,,46002,42582,42415,41537
"Carter County, MO","county",05000US29035,,0.239,0.244,,,,30962,32656,33034,37162
"Cass County, MO","county",05000US29037,0.226,0.182,0.196,3.6,3.7,3.1,60350,61046,61584,63613
"Cedar County, MO","county",05000US29039,,0.223,0.247,,,,30302,29872,31532,33720
"Chariton County, MO","county",05000US29041,0.122,0.203,0.207,,,,39385,40195,40642,41773
"Christian County, MO","county",05000US29043,0.209,0.196,0.209,,2,2.7,52838,52693,53270,54392
"Clark County, MO","county",05000US29045,0.234,0.195,0.218,,,,40204,43497,43883,45169
"Clay County, MO","county",05000US29047,0.21,0.186,0.19,3.2,3.2,3.5,60936,61184,62099,63702
"Clinton County, MO","county",05000US29049,0.197,0.192,0.202,,,,53826,53361,54773,57486
"Cole County, MO","county",05000US29051,0.18,0.203,0.206,2.1,2.5,3,53931,53228,53088,54130
"Cooper County, MO","county",05000US29053,0.316,0.216,0.219,,,,45992,44102,44549,44917
"Crawford County, MO","county",05000US29055,0.399,0.237,0.245,,,,35897,35829,36743,36983
"Dade County, MO","county",05000US29057,,0.218,0.223,,,,35483,36209,37035,37904
"Dallas County, MO","county",05000US29059,0.27,0.225,0.234,,,,40120,38314,38062,37695
"Daviess County, MO","county",05000US29061,0.189,0.216,0.225,,,,42393,42188,41642,43669
"DeKalb County, MO","county",05000US29063,0.205,0.199,0.23,,,,44092,44936,41406,43538
"Dent County, MO","county",05000US29065,0.351,0.223,0.227,,,,36311,37658,36831,38020
"Douglas County, MO","county",05000US29067,0.264,0.227,0.226,,,,32130,30879,30508,31333
"Dunklin County, MO","county",05000US29069,0.311,0.244,0.277,,,5.4,31304,31777,31077,31220
"Franklin County, MO","county",05000US29071,0.271,0.207,0.194,2.9,3,2.9,48857,48661,48480,50895
"Gasconade County, MO","county",05000US29073,0.264,0.191,0.204,,,,41392,42574,42826,45505
"Gentry County, MO","county",05000US29075,0.194,0.197,0.216,,,,39192,40591,41912,44024
"Greene County, MO","county",05000US29077,0.205,0.202,0.225,3.5,3.6,4,40337,40512,41227,41908
"Grundy County, MO","county",05000US29079,0.244,0.211,0.212,,,,37964,37167,37656,40187
"Harrison County, MO","county",05000US29081,0.305,0.203,0.215,,,,37739,39342,39301,41173
"Henry County, MO","county",05000US29083,0.265,0.208,0.232,,,,39839,39880,42181,42707
"Hickory County, MO","county",05000US29085,0.296,0.205,0.229,,,,29325,31897,32122,33113
"Holt County, MO","county",05000US29087,,0.192,0.2,,,,42979,41842,42500,41017
"Howard County, MO","county",05000US29089,0.36,0.209,0.216,,,,42747,44081,44820,45762
"Howell County, MO","county",05000US29091,0.266,0.214,0.232,5.8,5.8,5,32533,33006,32784,33964
"Iron County, MO","county",05000US29093,0.413,0.238,0.242,,,,36387,37259,36239,36354
"Jackson County, MO","county",05000US29095,0.219,0.207,0.201,17,16.8,16,47015,46917,46869,48104
"Jasper County, MO","county",05000US29097,0.203,0.236,0.238,3.5,3.2,3,40399,40914,41811,42648
"Jefferson County, MO","county",05000US29099,0.276,0.205,0.212,2.6,2.5,2.4,54845,55563,55348,58232
"Johnson County, MO","county",05000US29101,0.179,0.205,0.201,,,,47223,49978,49792,48977
"Knox County, MO","county",05000US29103,,0.215,0.22,,,,34481,35597,38289,38816
"Laclede County, MO","county",05000US29105,0.259,0.232,0.237,6.6,5.8,5.2,39013,38693,39712,40436
"Lafayette County, MO","county",05000US29107,0.232,0.188,0.198,,,,50527,51195,50723,50830
"Lawrence County, MO","county",05000US29109,0.273,0.213,0.224,,,,39334,40496,40597,40505
"Lewis County, MO","county",05000US29111,0.231,0.207,0.21,,,,42071,43000,43909,45708
"Lincoln County, MO","county",05000US29113,0.341,0.21,0.22,3.3,2.7,3.5,52835,53280,53718,55249
"Linn County, MO","county",05000US29115,0.263,0.209,0.208,,,,38250,37264,37997,39286
"Livingston County, MO","county",05000US29117,0.199,0.196,0.204,,,,40116,44754,43350,44266
"McDonald County, MO","county",05000US29119,0.337,0.244,0.268,6.3,6.5,6.2,37997,38122,38368,38846
"Macon County, MO","county",05000US29121,0.183,0.195,0.207,,,,38443,36878,36976,37099
"Madison County, MO","county",05000US29123,0.385,0.223,0.234,,,,35870,37648,35097,36359
"Maries County, MO","county",05000US29125,,0.202,0.213,,,,42566,41492,39700,40542
"Marion County, MO","county",05000US29127,0.237,0.221,0.234,,,,42046,41732,40814,43828
"Mercer County, MO","county",05000US29129,0.279,0.202,0.21,,,,40272,38925,40768,41817
"Miller County, MO","county",05000US29131,0.276,0.233,0.219,,,,35507,36592,38094,40057
"Mississippi County, MO","county",05000US29133,0.242,0.268,0.291,,,,29787,28436,28347,29214
"Moniteau County, MO","county",05000US29135,,0.196,0.204,,,,47118,47386,47725,48974
"Monroe County, MO","county",05000US29137,0.256,0.198,0.207,,,,40657,40342,43138,41201
"Montgomery County, MO","county",05000US29139,0.281,0.213,0.23,,,,40236,40114,39830,41096
"Morgan County, MO","county",05000US29141,0.35,0.224,0.22,,,,34797,34179,33525,32807
"New Madrid County, MO","county",05000US29143,0.267,0.24,0.258,11.8,11.3,8.5,35793,34224,33630,31615
"Newton County, MO","county",05000US29145,0.176,0.205,0.217,3.8,4,3.7,42268,42939,43290,44474
"Nodaway County, MO","county",05000US29147,0.147,0.219,0.218,,,,36641,36237,35854,39908
"Oregon County, MO","county",05000US29149,0.228,0.242,0.235,,,,27743,29385,29851,30442
"Osage County, MO","county",05000US29151,0.121,0.175,0.181,,,,51408,52479,52693,54119
"Ozark County, MO","county",05000US29153,,0.216,0.23,,,,32078,31833,31399,31087
"Pemiscot County, MO","county",05000US29155,0.331,0.255,0.286,,,9.5,28889,30840,29238,31671
"Perry County, MO","county",05000US29157,0.164,0.193,0.199,,,,47876,50817,51499,53014
"Pettis County, MO","county",05000US29159,0.248,0.225,0.23,,4.3,4.1,38580,39624,39928,40467
"Phelps County, MO","county",05000US29161,0.267,0.213,0.229,4,3.7,4.1,41964,41942,41618,41603
"Pike County, MO","county",05000US29163,0.274,0.22,0.23,,,,39850,40120,41750,42779
"Platte County, MO","county",05000US29165,0.163,0.18,0.184,2.8,3.4,3.4,67721,68638,68254,70879
"Polk County, MO","county",05000US29167,0.166,0.214,0.242,,,,39512,39336,41130,42483
"Pulaski County, MO","county",05000US29169,0.23,0.211,0.229,7.4,9,8.9,49820,49604,47931,49216
"Putnam County, MO","county",05000US29171,0.194,0.204,0.212,,,,36713,36886,36346,38125
"Ralls County, MO","county",05000US29173,0.208,0.186,0.196,,,,47969,47837,47345,48919
"Randolph County, MO","county",05000US29175,0.267,0.23,0.244,,,,37203,39316,37832,40638
"Ray County, MO","county",05000US29177,0.27,0.194,0.204,,,,52698,51585,52526,53459
"Reynolds County, MO","county",05000US29179,0.23,0.224,0.24,,,,34496,34432,35648,36736
"Ripley County, MO","county",05000US29181,0.471,0.243,0.249,,,,32291,31473,32444,34145
"St. Charles County, MO","county",05000US29183,0.166,0.164,0.176,1.7,1.5,1.4,71077,72100,72415,75603
"St. Clair County, MO","county",05000US29185,,0.201,0.216,,,,31539,31875,32046,33750
"Ste. Genevieve County, MO","county",05000US29186,0.269,0.195,0.206,,,,48433,46244,47014,49356
"St. Francois County, MO","county",05000US29187,0.29,0.229,0.247,2.7,3.5,4.8,37238,37476,39741,41461
"St. Louis County, MO","county",05000US29189,0.17,0.166,0.161,8.5,8.6,8.8,58910,59520,59755,61103
"Saline County, MO","county",05000US29195,0.29,0.225,0.231,,,,39519,39027,40101,40645
"Schuyler County, MO","county",05000US29197,,0.224,0.234,,,,34688,36060,37500,37583
"Scotland County, MO","county",05000US29199,0.135,0.205,0.22,,,,39028,39450,39772,41336
"Scott County, MO","county",05000US29201,0.243,0.233,0.263,3.8,,5.1,40651,39076,39162,40276
"Shannon County, MO","county",05000US29203,0.316,0.23,0.234,,,,31132,33583,32404,32284
"Shelby County, MO","county",05000US29205,0.114,0.206,0.213,,,,35938,38935,39087,41351
"Stoddard County, MO","county",05000US29207,0.293,0.199,0.238,,,,37965,39229,38203,38096
"Stone County, MO","county",05000US29209,0.247,0.197,0.207,,,,40850,40136,40510,41944
"Sullivan County, MO","county",05000US29211,0.435,0.215,0.22,,,,36676,37198,40197,42639
"Taney County, MO","county",05000US29213,0.307,0.225,0.22,,,,38461,37249,38357,38040
"Texas County, MO","county",05000US29215,0.307,0.237,0.25,6.3,6.7,8.9,36082,35822,35088,35730
"Vernon County, MO","county",05000US29217,0.227,0.219,0.225,,,6.8,38679,40508,40693,40655
"Warren County, MO","county",05000US29219,0.248,0.189,0.207,,,6.1,50830,52512,51133,51509
"Washington County, MO","county",05000US29221,0.34,0.245,0.262,5.8,,,34702,34282,35305,36701
"Wayne County, MO","county",05000US29223,0.367,0.238,0.241,,,,33159,33072,33750,33954
"Webster County, MO","county",05000US29225,0.173,0.214,0.229,,,,44596,45798,44451,44814
"Worth County, MO","county",05000US29227,,0.187,0.204,,,,39348,42905,45952,44974
"Wright County, MO","county",05000US29229,0.237,0.253,0.253,8.5,8.5,,28645,30029,29778,30581
"St. Louis city, MO","county",05000US29510,0.27,0.255,0.263,30.5,29.9,33.2,34582,34800,35599,36809
"Beaverhead County, MT","county",05000US30001,0.11,0.171,0.158,,,,41614,42577,41512,38194
"Big Horn County, MT","county",05000US30003,0.27,0.28,0.275,,,,39966,42650,41622,44136
"Blaine County, MT","county",05000US30005,0.303,0.274,0.27,,,,37151,37065,36744,36875
"Broadwater County, MT","county",05000US30007,0.11,0.158,0.152,,,,45932,48211,50115,50946
"Carbon County, MT","county",05000US30009,0.156,0.168,0.15,,,,47831,48979,49767,52869
"Carter County, MT","county",05000US30011,,0.16,0.143,,,,39659,44453,45000,46985
"Cascade County, MT","county",05000US30013,0.178,0.181,0.164,4.7,4.2,4.2,44963,45091,45205,45469
"Chouteau County, MT","county",05000US30015,0.153,0.206,0.207,,,,40070,41270,38521,38735
"Custer County, MT","county",05000US30017,0.146,0.167,0.17,,,,43524,46125,48750,50146
"Daniels County, MT","county",05000US30019,0.142,0.142,0.136,,,,46100,48643,49239,51108
"Dawson County, MT","county",05000US30021,0.154,0.171,0.161,,,,50405,49955,52738,57591
"Deer Lodge County, MT","county",05000US30023,0.291,0.197,0.179,,,,38958,41015,39399,39212
"Fallon County, MT","county",05000US30025,0.148,0.15,0.138,,,,51164,51595,53266,50114
"Fergus County, MT","county",05000US30027,0.155,0.152,0.152,,,,38344,42865,40881,42357
"Flathead County, MT","county",05000US30029,0.169,0.172,0.161,2.5,3.7,3.2,46581,46858,47851,48407
"Gallatin County, MT","county",05000US30031,0.134,0.147,0.135,,,,52833,54298,55553,57021
"Garfield County, MT","county",05000US30033,0.199,0.15,0.156,,,,45096,51000,39732,42614
"Glacier County, MT","county",05000US30035,0.352,0.307,0.322,13.2,10.9,,33519,33493,29640,29181
"Golden Valley County, MT","county",05000US30037,,0.177,0.178,,,,39313,42083,40938,44000
"Granite County, MT","county",05000US30039,0.21,0.153,0.148,,,,45236,49583,48512,48688
"Hill County, MT","county",05000US30041,0.302,0.226,0.21,,,,43726,44368,44633,42979
"Jefferson County, MT","county",05000US30043,0.17,0.157,0.143,,,,60863,61460,60842,62939
"Judith Basin County, MT","county",05000US30045,0.088,0.156,0.154,,,,41932,45670,44602,45347
"Lake County, MT","county",05000US30047,0.23,0.204,0.192,,,,38019,38492,38732,39898
"Lewis and Clark County, MT","county",05000US30049,0.173,0.158,0.156,,,,56243,55594,56197,59170
"Liberty County, MT","county",05000US30051,,0.166,0.17,,,,44493,46250,47768,46597
"Lincoln County, MT","county",05000US30053,0.207,0.172,0.176,,,,33333,35603,35275,35461
"McCone County, MT","county",05000US30055,,0.156,0.147,,,,46667,48194,40750,42330
"Madison County, MT","county",05000US30057,0.129,0.156,0.147,,,,47762,44764,46250,47617
"Meagher County, MT","county",05000US30059,0.177,0.188,0.167,,,,38182,38144,41641,39032
"Mineral County, MT","county",05000US30061,0.199,0.172,0.163,,,,33033,33060,36031,37143
"Missoula County, MT","county",05000US30063,0.173,0.166,0.185,,1.5,2.2,46117,47029,46164,46371
"Musselshell County, MT","county",05000US30065,0.195,0.178,0.178,,,,43409,45096,39517,41557
"Park County, MT","county",05000US30067,0.136,0.151,0.158,,,,42426,42506,43932,43385
"Petroleum County, MT","county",05000US30069,,0.176,0.169,,,,41705,40250,43750,38250
"Phillips County, MT","county",05000US30071,0.16,0.184,0.185,,,,42632,38426,36071,38692
"Pondera County, MT","county",05000US30073,0.188,0.195,0.179,,,,41277,40969,42264,42193
"Powder River County, MT","county",05000US30075,0.16,0.165,0.149,,,,46250,44167,46346,47955
"Powell County, MT","county",05000US30077,0.225,0.179,0.178,,,,40802,41326,40000,43064
"Prairie County, MT","county",05000US30079,,0.16,0.149,,,,38036,40580,42383,44643
"Ravalli County, MT","county",05000US30081,0.193,0.172,0.159,,,,38688,38366,39480,40546
"Richland County, MT","county",05000US30083,0.186,0.184,0.164,,,,58112,61438,65084,65638
"Roosevelt County, MT","county",05000US30085,0.274,0.293,0.301,20.7,14.6,,36920,36825,32974,34481
"Rosebud County, MT","county",05000US30087,0.211,0.229,0.216,,,,48789,50924,51159,55609
"Sanders County, MT","county",05000US30089,0.219,0.195,0.183,,,,32881,31665,32257,34336
"Sheridan County, MT","county",05000US30091,0.131,0.161,0.143,,,,48667,47348,50664,52308
"Silver Bow County, MT","county",05000US30093,0.226,0.208,0.202,,,,38659,37503,37749,39580
"Stillwater County, MT","county",05000US30095,0.142,0.156,0.151,,,,57906,58326,58259,59603
"Sweet Grass County, MT","county",05000US30097,0.15,0.151,0.146,,,,45938,51797,50588,50813
"Teton County, MT","county",05000US30099,0.176,0.185,0.149,,,,43327,45572,46360,49047
"Toole County, MT","county",05000US30101,0.161,0.199,0.193,,,,46972,46917,44804,46588
"Treasure County, MT","county",05000US30103,,0.179,0.179,,,,37105,40682,41103,42500
"Valley County, MT","county",05000US30105,0.176,0.165,0.163,,,,47181,49198,49141,49977
"Wheatland County, MT","county",05000US30107,0.255,0.172,0.172,,,,31867,33825,32723,36076
"Wibaux County, MT","county",05000US30109,,0.172,0.161,,,,41875,39097,38553,40833
"Yellowstone County, MT","county",05000US30111,0.171,0.186,0.161,2.6,2.8,4,51342,51743,52802,55032
"Adams County, NE","county",05000US31001,0.151,0.173,0.16,,,,49440,51342,50635,51201
"Antelope County, NE","county",05000US31003,0.134,0.145,0.15,,,,43518,45417,45609,46381
"Arthur County, NE","county",05000US31005,,0.149,0.151,,,,40568,41103,39375,40375
"Banner County, NE","county",05000US31007,0.232,0.149,0.143,,,,36875,46875,48897,50833
"Blaine County, NE","county",05000US31009,,0.157,0.152,,,,42917,48214,48875,50350
"Boone County, NE","county",05000US31011,0.125,0.143,0.142,,,,45246,47450,50306,51890
"Box Butte County, NE","county",05000US31013,0.206,0.182,0.181,,,,46373,49367,51691,54444
"Boyd County, NE","county",05000US31015,0.15,0.151,0.15,,,,41279,40083,40224,42463
"Brown County, NE","county",05000US31017,0.167,0.149,0.166,,,,33647,34645,36078,37328
"Buffalo County, NE","county",05000US31019,0.15,0.147,0.146,,,,50963,52562,53624,54098
"Burt County, NE","county",05000US31021,0.173,0.183,0.153,,,,46817,46988,47429,47137
"Butler County, NE","county",05000US31023,0.208,0.161,0.156,,,,50247,49241,51027,51166
"Cass County, NE","county",05000US31025,0.186,0.176,0.161,,,,64697,65560,65619,65385
"Cedar County, NE","county",05000US31027,0.122,0.139,0.129,,,,48038,49507,52250,54391
"Chase County, NE","county",05000US31029,0.111,0.144,0.139,,,,45610,48450,52422,53496
"Cherry County, NE","county",05000US31031,0.148,0.158,0.156,,,,45464,46817,48750,53059
"Cheyenne County, NE","county",05000US31033,0.179,0.173,0.153,,,,51529,54094,53814,54215
"Clay County, NE","county",05000US31035,0.138,0.153,0.149,,,,46784,50682,51470,51613
"Colfax County, NE","county",05000US31037,0.168,0.149,0.152,,,,51765,52086,51367,52712
"Cuming County, NE","county",05000US31039,0.139,0.136,0.141,,,,47500,49872,50013,49181
"Custer County, NE","county",05000US31041,0.13,0.147,0.149,,,,44873,44336,46468,47083
"Dakota County, NE","county",05000US31043,0.205,0.184,0.167,,,,47069,48508,49786,52336
"Dawes County, NE","county",05000US31045,0.177,0.173,0.155,,,,40359,41267,41038,42685
"Dawson County, NE","county",05000US31047,0.183,0.172,0.174,,,,46078,48104,48329,49943
"Deuel County, NE","county",05000US31049,0.211,0.161,0.151,,,,44922,50764,50962,51786
"Dixon County, NE","county",05000US31051,0.181,0.153,0.141,,,,47325,49634,51223,52813
"Dodge County, NE","county",05000US31053,0.204,0.181,0.166,,,,48626,47991,49068,49830
"Douglas County, NE","county",05000US31055,0.193,0.174,0.183,7.3,7.9,7.9,53325,53444,54659,56003
"Dundy County, NE","county",05000US31057,0.124,0.163,0.167,,,,47431,47636,42500,44583
"Fillmore County, NE","county",05000US31059,0.134,0.152,0.154,,,,48464,52063,52316,52070
"Franklin County, NE","county",05000US31061,0.179,0.159,0.148,,,,43011,45707,45905,46531
"Frontier County, NE","county",05000US31063,0.124,0.158,0.145,,,,50227,48713,49634,51192
"Furnas County, NE","county",05000US31065,0.168,0.159,0.156,,,,39603,40765,39934,40445
"Gage County, NE","county",05000US31067,0.214,0.171,0.177,,,,47654,49021,50010,48731
"Garden County, NE","county",05000US31069,0.231,0.152,0.143,,,,39400,41410,45845,49805
"Garfield County, NE","county",05000US31071,0.111,0.151,0.142,,,,41892,41776,43179,45227
"Gosper County, NE","county",05000US31073,,0.158,0.14,,,,45893,50063,54375,60711
"Grant County, NE","county",05000US31075,,0.171,0.168,,,,44167,45268,44750,45625
"Greeley County, NE","county",05000US31077,0.101,0.154,0.148,,,,44950,43226,42904,48220
"Hall County, NE","county",05000US31079,0.168,0.165,0.166,2.8,2.7,,48712,49178,49252,51355
"Hamilton County, NE","county",05000US31081,0.154,0.153,0.136,,,,56065,58382,59311,59760
"Harlan County, NE","county",05000US31083,0.169,0.148,0.158,,,,45920,46859,46766,44630
"Hayes County, NE","county",05000US31085,0.113,0.15,0.148,,,,49125,48750,44500,44602
"Hitchcock County, NE","county",05000US31087,0.209,0.174,0.163,,,,39702,35938,39231,41131
"Holt County, NE","county",05000US31089,0.131,0.147,0.145,,,,44427,45782,46728,49607
"Hooker County, NE","county",05000US31091,,0.154,0.152,,,,39327,38011,37317,38616
"Howard County, NE","county",05000US31093,0.131,0.156,0.143,,,,49088,48750,50030,52247
"Jefferson County, NE","county",05000US31095,0.167,0.161,0.154,,,,44843,44449,43008,44616
"Johnson County, NE","county",05000US31097,0.188,0.19,0.162,,,,42364,44057,45429,47938
"Kearney County, NE","county",05000US31099,0.172,0.156,0.145,,,,56466,55670,51934,55068
"Keith County, NE","county",05000US31101,0.188,0.173,0.162,,,,41970,42326,41781,43100
"Keya Paha County, NE","county",05000US31103,0.136,0.152,0.148,,,,36923,39028,38625,43333
"Kimball County, NE","county",05000US31105,0.251,0.173,0.172,,,,42180,42219,40242,40344
"Knox County, NE","county",05000US31107,0.136,0.157,0.152,,,,42230,43709,45411,47692
"Lancaster County, NE","county",05000US31109,0.183,0.163,0.151,1.9,1.9,1.8,51574,51916,51830,53730
"Lincoln County, NE","county",05000US31111,0.162,0.198,0.173,5.2,5.3,,48158,49250,50194,52179
"Logan County, NE","county",05000US31113,,0.16,0.15,,,,44417,45179,48281,51346
"Loup County, NE","county",05000US31115,,0.165,0.14,,,,38125,55125,55417,56750
"McPherson County, NE","county",05000US31117,0.197,0.151,0.146,,,,54926,57763,54306,53750
"Madison County, NE","county",05000US31119,0.176,0.175,0.148,,,,46566,47622,50218,48673
"Merrick County, NE","county",05000US31121,0.175,0.161,0.15,,,,50859,49637,51012,50464
"Morrill County, NE","county",05000US31123,0.195,0.186,0.17,,,,43886,45000,45910,43942
"Nance County, NE","county",05000US31125,0.133,0.159,0.161,,,,44286,46220,42500,42429
"Nemaha County, NE","county",05000US31127,0.174,0.16,0.143,,,,42672,47875,49656,52736
"Nuckolls County, NE","county",05000US31129,0.134,0.139,0.141,,,,37594,42404,40488,41576
"Otoe County, NE","county",05000US31131,0.173,0.151,0.159,,,,50881,51316,50275,52108
"Pawnee County, NE","county",05000US31133,0.088,0.151,0.153,,,,37321,38462,41161,40139
"Perkins County, NE","county",05000US31135,0.161,0.142,0.135,,,,58625,56333,55893,56797
"Phelps County, NE","county",05000US31137,0.133,0.15,0.147,,,,50000,51396,50404,51264
"Pierce County, NE","county",05000US31139,0.133,0.148,0.158,,,,51924,52178,54482,53125
"Platte County, NE","county",05000US31141,0.148,0.155,0.154,,,,51213,55391,56318,58473
"Polk County, NE","county",05000US31143,0.177,0.148,0.142,,,,52848,54375,57312,57991
"Red Willow County, NE","county",05000US31145,0.175,0.167,0.154,,,,42345,43627,42931,42457
"Richardson County, NE","county",05000US31147,0.183,0.169,0.178,,,,38582,40765,42750,45929
"Rock County, NE","county",05000US31149,0.115,0.155,0.147,,,,43500,48854,48456,48750
"Saline County, NE","county",05000US31151,0.138,0.171,0.157,,,,44109,46814,51738,49332
"Sarpy County, NE","county",05000US31153,0.167,0.145,0.122,1.2,1.3,1.2,69965,70121,70543,72269
"Saunders County, NE","county",05000US31155,0.19,0.159,0.151,,,,59870,60487,60854,64475
"Scotts Bluff County, NE","county",05000US31157,0.176,0.192,0.172,4.9,4.9,,43444,46443,45992,46632
"Seward County, NE","county",05000US31159,0.143,0.136,0.153,,,,59435,59503,59662,61563
"Sheridan County, NE","county",05000US31161,0.12,0.184,0.179,,,,38548,40489,41985,42802
"Sherman County, NE","county",05000US31163,0.175,0.15,0.153,,,,41835,46301,46366,46299
"Sioux County, NE","county",05000US31165,0.144,0.156,0.149,,,,42014,40625,41215,46667
"Stanton County, NE","county",05000US31167,0.225,0.168,0.151,,,,51493,53532,53416,58553
"Thayer County, NE","county",05000US31169,0.122,0.152,0.148,,,,44422,45213,45741,45590
"Thomas County, NE","county",05000US31171,,0.149,0.14,,,,55089,52105,51000,54286
"Thurston County, NE","county",05000US31173,0.344,0.312,0.286,,,,41400,40494,41266,42979
"Valley County, NE","county",05000US31175,0.088,0.148,0.146,,,,40445,42708,44612,44657
"Washington County, NE","county",05000US31177,0.173,0.139,0.138,,,,65409,68207,65370,65565
"Wayne County, NE","county",05000US31179,0.128,0.158,0.139,,,,52147,53808,54159,55141
"Webster County, NE","county",05000US31181,0.118,0.145,0.156,,,,41045,41107,40256,40313
"Wheeler County, NE","county",05000US31183,,0.166,0.155,,,,38807,44107,46394,47452
"York County, NE","county",05000US31185,0.181,0.159,0.153,,,,49633,50922,51802,55156
"Churchill County, NV","county",05000US32001,0.235,0.183,0.186,,,,49830,46195,47415,45368
"Clark County, NV","county",05000US32003,0.21,0.176,0.169,6.6,6,6,52873,52070,51575,52629
"Douglas County, NV","county",05000US32005,0.178,0.153,0.147,,,3,60100,58940,58535,59769
"Elko County, NV","county",05000US32007,0.243,0.184,0.186,3.3,3.5,,70238,72280,71799,74672
"Esmeralda County, NV","county",05000US32009,,0.22,0.203,,,,30284,31528,39271,43125
"Eureka County, NV","county",05000US32011,,0.167,0.153,,,,64632,68403,60250,70000
"Humboldt County, NV","county",05000US32013,0.216,0.166,0.173,10,9,,59472,62632,65212,67295
"Lander County, NV","county",05000US32015,0.172,0.17,0.163,,,,72742,76558,78190,78077
"Lincoln County, NV","county",05000US32017,0.145,0.177,0.165,,,,40143,40550,44866,49406
"Lyon County, NV","county",05000US32019,0.249,0.174,0.184,4.3,4.9,6.1,46137,47143,47255,49007
"Mineral County, NV","county",05000US32021,0.267,0.194,0.201,,,,35017,38664,38923,37750
"Nye County, NV","county",05000US32023,0.263,0.184,0.188,7.1,6.8,4.6,39876,41757,41712,42266
"Pershing County, NV","county",05000US32027,0.263,0.199,0.185,,,,52101,48165,45230,45192
"Storey County, NV","county",05000US32029,0.222,0.14,0.14,,,,61573,64835,64832,65508
"Washoe County, NV","county",05000US32031,0.183,0.16,0.171,5.1,4.7,4.8,53040,52910,52870,54955
"White Pine County, NV","county",05000US32033,0.2,0.174,0.183,,,,48586,55337,57122,58156
"Carson City County, NV","county",05000US32510,0.214,0.173,0.169,,3.5,3.6,51957,50108,47668,47948
"Belknap County, NH","county",05000US33001,0.181,0.16,0.161,2.2,,,58654,60782,62159,61245
"Carroll County, NH","county",05000US33003,0.178,0.163,0.142,,,,50866,52393,53306,56289
"Cheshire County, NH","county",05000US33005,0.172,0.172,0.149,,,,55155,56139,57782,58359
"Coos County, NH","county",05000US33007,0.215,0.186,0.168,,,,41985,42407,42312,45154
"Grafton County, NH","county",05000US33009,0.168,0.172,0.152,1.9,2,1.9,54912,55045,55762,58107
"Hillsborough County, NH","county",05000US33011,0.16,0.147,0.146,1.4,1.5,1.8,69829,70906,71244,73189
"Merrimack County, NH","county",05000US33013,0.153,0.163,0.132,1.4,1.1,,65353,65226,65983,67181
"Rockingham County, NH","county",05000US33015,0.158,0.164,0.139,1,1.2,1.1,77348,79368,81198,82398
"Strafford County, NH","county",05000US33017,0.185,0.171,0.164,,,,58825,59580,60711,63533
"Sullivan County, NH","county",05000US33019,0.197,0.178,0.17,,,,54463,56851,56032,58454
"Atlantic County, NJ","county",05000US34001,0.201,0.185,0.172,7.7,7,6.9,54235,54392,54461,55456
"Bergen County, NJ","county",05000US34003,0.14,0.119,0.117,1.3,1.3,1.4,83794,83686,85806,88487
"Burlington County, NJ","county",05000US34005,0.148,0.142,0.128,2.5,2.2,2.3,78446,79612,78621,80034
