geo_name,geo_sumlevel,geo_id,adult_smoking_2015,adult_smoking_2016,adult_smoking_2017,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017,income_2013,income_2014,income_2015,income_2016
"Nemaha County, KS","county",05000US20131,0.096,0.148,0.159,,,,47122,47141,48653,50400
"Neosho County, KS","county",05000US20133,0.169,0.189,0.19,,,,42071,44879,43195,43867
"Ness County, KS","county",05000US20135,0.245,0.163,0.159,,,,48800,48021,44904,47298
"Norton County, KS","county",05000US20137,0.21,0.172,0.172,,,,46029,45484,47852,47651
"Osage County, KS","county",05000US20139,0.249,0.167,0.185,,,,50205,49716,49915,52171
"Osborne County, KS","county",05000US20141,,0.161,0.162,,,,37925,38686,40216,41432
"Ottawa County, KS","county",05000US20143,0.116,0.163,0.147,,,,58396,60098,52479,52241
"Pawnee County, KS","county",05000US20145,0.216,0.172,0.173,,,,44078,40791,43250,46227
"Phillips County, KS","county",05000US20147,0.124,0.157,0.163,,,,43059,44292,44170,45940
"Pottawatomie County, KS","county",05000US20149,0.187,0.149,0.163,,,,56854,60479,60216,62500
"Pratt County, KS","county",05000US20151,0.178,0.158,0.157,,,,46035,49519,49550,48995
"Rawlins County, KS","county",05000US20153,,0.16,0.151,,,,43482,43555,41579,49327
"Reno County, KS","county",05000US20155,0.191,0.172,0.177,3.2,3.1,2.2,43798,44673,45288,46000
"Republic County, KS","county",05000US20157,0.174,0.164,0.164,,,,39572,40538,40449,41489
"Rice County, KS","county",05000US20159,0.157,0.168,0.169,,,,45336,46342,48460,46335
"Riley County, KS","county",05000US20161,0.156,0.171,0.156,,1.8,,43962,44522,44437,46609
"Rooks County, KS","county",05000US20163,0.216,0.166,0.172,,,,42449,43816,43558,46750
"Rush County, KS","county",05000US20165,0.284,0.161,0.164,,,,42610,40746,38854,40395
"Russell County, KS","county",05000US20167,0.191,0.171,0.174,,,,37111,40369,41102,42656
"Saline County, KS","county",05000US20169,0.179,0.183,0.175,5.2,5.3,5.4,47215,47745,47801,48497
