year,geo_name,geo,income_white
2013,"DuPage County, IL","05000US17043",80233.0
2013,"Edgar County","05000US17045",42018.0
2013,"Edwards County","05000US17047",39058.0
2013,"Effingham County","05000US17049",52067.0
2013,"Fayette County","05000US17051",44873.0
2013,"Ford County","05000US17053",48847.0
2013,"Franklin County","05000US17055",36513.0
2013,"Fulton County","05000US17057",45181.0
2013,"Gallatin County","05000US17059",40868.0
2013,"Greene County","05000US17061",43663.0
2013,"Grundy County","05000US17063",66102.0
2013,"Hamilton County","05000US17065",37844.0
2013,"Hancock County","05000US17067",44076.0
2013,"Hardin County","05000US17069",36357.0
2013,"Henderson County","05000US17071",49528.0
2013,"Henry County","05000US17073",53113.0
2013,"Iroquois County","05000US17075",47282.0
2013,"Jackson County","05000US17077",38275.0
2013,"Jasper County","05000US17079",52568.0
2013,"Jefferson County","05000US17081",44571.0
2013,"Jersey County","05000US17083",53680.0
2013,"Jo Daviess County","05000US17085",51012.0
2013,"Johnson County","05000US17087",40892.0
2013,"Kane County, IL","05000US17089",76413.0
2013,"Kankakee County, IL","05000US17091",55667.0
2013,"Kendall County, IL","05000US17093",83557.0
2013,"Knox County","05000US17095",41756.0
2013,"Lake County, IL","05000US17097",81955.0
2013,"LaSalle County, IL","05000US17099",52638.0
2013,"Lawrence County","05000US17101",40348.0
2013,"Lee County","05000US17103",50458.0
2013,"Livingston County","05000US17105",54923.0
2013,"Logan County","05000US17107",49217.0
2013,"McDonough County","05000US17109",36836.0
2013,"McHenry County, IL","05000US17111",76627.0
2013,"McLean County, IL","05000US17113",63733.0
2013,"Macon County, IL","05000US17115",50827.0
2013,"Macoupin County","05000US17117",49716.0
2013,"Madison County, IL","05000US17119",55696.0
2013,"Marion County","05000US17121",41359.0
2013,"Marshall County","05000US17123",51924.0
2013,"Mason County","05000US17125",42278.0
2013,"Massac County","05000US17127",45087.0
2013,"Menard County","05000US17129",58255.0
2013,"Mercer County","05000US17131",53113.0
2013,"Monroe County","05000US17133",68521.0
2013,"Montgomery County","05000US17135",41747.0
2013,"Morgan County","05000US17137",49156.0
2013,"Moultrie County","05000US17139",46610.0
2013,"Ogle County","05000US17141",54816.0
2013,"Peoria County, IL","05000US17143",56125.0
2013,"Perry County","05000US17145",42261.0
2013,"Piatt County","05000US17147",63131.0
2013,"Pike County","05000US17149",39938.0
2013,"Pope County","05000US17151",38539.0
2013,"Pulaski County","05000US17153",40321.0
2013,"Putnam County","05000US17155",54911.0
2013,"Randolph County","05000US17157",48110.0
2013,"Richland County","05000US17159",43993.0
2013,"Rock Island County, IL","05000US17161",51020.0
2013,"St. Clair County, IL","05000US17163",60558.0
2013,"Saline County","05000US17165",38908.0
2013,"Sangamon County, IL","05000US17167",59761.0
2013,"Schuyler County","05000US17169",47979.0
2013,"Scott County","05000US17171",49706.0
2013,"Shelby County","05000US17173",47431.0
2013,"Stark County","05000US17175",54674.0
2013,"Stephenson County","05000US17177",45372.0
2013,"Tazewell County, IL","05000US17179",56518.0
2013,"Union County","05000US17181",42493.0
2013,"Vermilion County","05000US17183",44117.0
2013,"Wabash County","05000US17185",47030.0
2013,"Warren County","05000US17187",43702.0
2013,"Washington County","05000US17189",52928.0
2013,"Wayne County","05000US17191",43919.0
2013,"White County","05000US17193",42979.0
2013,"Whiteside County","05000US17195",48114.0
2013,"Will County, IL","05000US17197",79366.0
2013,"Williamson County","05000US17199",44252.0
2013,"Winnebago County, IL","05000US17201",51285.0
2013,"Woodford County","05000US17203",66779.0
2016,"Edgar County","05000US17045",46508.0
2016,"Adams County","05000US17001",49233.0
2016,"Alexander County","05000US17003",35313.0
2016,"Bond County","05000US17005",51824.0
2016,"Boone County","05000US17007",59778.0
2016,"Brown County","05000US17009",52660.0
2016,"Bureau County","05000US17011",51479.0
2016,"Calhoun County","05000US17013",53333.0
2016,"Carroll County","05000US17015",50565.0
2016,"Cass County","05000US17017",50140.0
2016,"Champaign County, IL","05000US17019",54501.0
2016,"Christian County","05000US17021",47886.0
2016,"Clark County","05000US17023",48554.0
2016,"Clay County","05000US17025",46051.0
2016,"Clinton County","05000US17027",64480.0
2016,"Coles County","05000US17029",40234.0
2016,"Cook County, IL","05000US17031",68464.0
2016,"Crawford County","05000US17033",47324.0
2016,"Cumberland County","05000US17035",43852.0
2016,"DeKalb County, IL","05000US17037",59926.0
2016,"De Witt County","05000US17039",54082.0
2016,"Douglas County","05000US17041",53234.0
2016,"DuPage County, IL","05000US17043",83489.0
2016,"Edwards County","05000US17047",46962.0
2016,"Effingham County","05000US17049",53021.0
2016,"Fayette County","05000US17051",44751.0
2016,"Ford County","05000US17053",49270.0
2016,"Franklin County","05000US17055",39810.0
2016,"Fulton County","05000US17057",46078.0
2016,"Gallatin County","05000US17059",41496.0
2016,"Greene County","05000US17061",43096.0
2016,"Grundy County","05000US17063",68682.0
2016,"Hamilton County","05000US17065",44972.0
2016,"Hancock County","05000US17067",50332.0
2016,"Hardin County","05000US17069",39559.0
2016,"Henderson County","05000US17071",46284.0
2016,"Henry County","05000US17073",55950.0
2016,"Iroquois County","05000US17075",48896.0
2016,"Jackson County","05000US17077",39131.0
2016,"Jasper County","05000US17079",56360.0
2016,"Jefferson County","05000US17081",45052.0
2016,"Jersey County","05000US17083",52650.0
2016,"Jo Daviess County","05000US17085",54795.0
2016,"Johnson County","05000US17087",44321.0
2016,"Kane County, IL","05000US17089",78575.0
2016,"Kankakee County, IL","05000US17091",59704.0
2016,"Kendall County, IL","05000US17093",87958.0
2016,"Knox County","05000US17095",42122.0
2016,"Lake County, IL","05000US17097",82800.0
2016,"LaSalle County, IL","05000US17099",52173.0
2016,"Lawrence County","05000US17101",43610.0
2016,"Lee County","05000US17103",55071.0
2016,"Livingston County","05000US17105",54407.0
2016,"Logan County","05000US17107",55316.0
2016,"McDonough County","05000US17109",41704.0
2016,"McHenry County, IL","05000US17111",80059.0
2016,"McLean County, IL","05000US17113",65238.0
2016,"Macon County, IL","05000US17115",51719.0
2016,"Macoupin County","05000US17117",52600.0
2016,"Madison County, IL","05000US17119",57462.0
2016,"Marion County","05000US17121",44740.0
2016,"Marshall County","05000US17123",54288.0
2016,"Mason County","05000US17125",43250.0
2016,"Massac County","05000US17127",43944.0
2016,"Menard County","05000US17129",60681.0
2016,"Mercer County","05000US17131",55559.0
2016,"Monroe County","05000US17133",73385.0
2016,"Montgomery County","05000US17135",45285.0
2016,"Morgan County","05000US17137",49409.0
2016,"Moultrie County","05000US17139",51663.0
2016,"Ogle County","05000US17141",56065.0
2016,"Peoria County, IL","05000US17143",56800.0
2016,"Perry County","05000US17145",43485.0
2016,"Piatt County","05000US17147",69830.0
2016,"Pike County","05000US17149",40449.0
2016,"Pope County","05000US17151",39112.0
2016,"Pulaski County","05000US17153",35778.0
2016,"Putnam County","05000US17155",64007.0
2016,"Randolph County","05000US17157",49838.0
2016,"Richland County","05000US17159",46023.0
2016,"Rock Island County, IL","05000US17161",52057.0
2016,"St. Clair County, IL","05000US17163",62108.0
2016,"Saline County","05000US17165",41472.0
2016,"Sangamon County, IL","05000US17167",61944.0
2016,"Schuyler County","05000US17169",48500.0
2016,"Scott County","05000US17171",46331.0
2016,"Shelby County","05000US17173",48740.0
2016,"Stark County","05000US17175",52115.0
2016,"Stephenson County","05000US17177",47738.0
2016,"Tazewell County, IL","05000US17179",60422.0
2016,"Union County","05000US17181",46203.0
2016,"Vermilion County","05000US17183",46547.0
2016,"Wabash County","05000US17185",46754.0
2016,"Warren County","05000US17187",44788.0
2016,"Washington County","05000US17189",55098.0
2016,"Wayne County","05000US17191",47361.0
2016,"White County","05000US17193",43255.0
2016,"Whiteside County","05000US17195",49534.0
2016,"Will County, IL","05000US17197",81553.0
2016,"Williamson County","05000US17199",46422.0
2016,"Winnebago County, IL","05000US17201",53095.0
2016,"Woodford County","05000US17203",68189.0
